date,day,week,month,quarter,year,day_of_week,day_name,week_of_year,day_of_year,weekend_flag,holiday_name,holiday_flag,festival_flag,festival_name,season,financial_month,financial_year,financial_quarter
2023-01-01,1,52,1,1,2023,6,Sunday,52,1,True,New Year,True,False,,Winter,10,2022,4
2023-01-02,2,1,1,1,2023,0,Monday,1,2,False,,False,False,,Winter,10,2022,4
2023-01-03,3,1,1,1,2023,1,Tuesday,1,3,False,,False,False,,Winter,10,2022,4
2023-01-04,4,1,1,1,2023,2,Wednesday,1,4,False,,False,False,,Winter,10,2022,4
2023-01-05,5,1,1,1,2023,3,Thursday,1,5,False,,False,False,,Winter,10,2022,4
2023-01-06,6,1,1,1,2023,4,Friday,1,6,False,,False,False,,Winter,10,2022,4
2023-01-07,7,1,1,1,2023,5,Saturday,1,7,True,,False,False,,Winter,10,2022,4
2023-01-08,8,1,1,1,2023,6,Sunday,1,8,True,,False,False,,Winter,10,2022,4
2023-01-09,9,2,1,1,2023,0,Monday,2,9,False,,False,False,,Winter,10,2022,4
2023-01-10,10,2,1,1,2023,1,Tuesday,2,10,False,,False,False,,Winter,10,2022,4
2023-01-11,11,2,1,1,2023,2,Wednesday,2,11,False,,False,False,,Winter,10,2022,4
2023-01-12,12,2,1,1,2023,3,Thursday,2,12,False,,False,False,,Winter,10,2022,4
2023-01-13,13,2,1,1,2023,4,Friday,2,13,False,,False,False,,Winter,10,2022,4
2023-01-14,14,2,1,1,2023,5,Saturday,2,14,True,,False,False,,Winter,10,2022,4
2023-01-15,15,2,1,1,2023,6,Sunday,2,15,True,,False,False,,Winter,10,2022,4
2023-01-16,16,3,1,1,2023,0,Monday,3,16,False,,False,False,,Winter,10,2022,4
2023-01-17,17,3,1,1,2023,1,Tuesday,3,17,False,,False,False,,Winter,10,2022,4
2023-01-18,18,3,1,1,2023,2,Wednesday,3,18,False,,False,False,,Winter,10,2022,4
2023-01-19,19,3,1,1,2023,3,Thursday,3,19,False,,False,False,,Winter,10,2022,4
2023-01-20,20,3,1,1,2023,4,Friday,3,20,False,,False,False,,Winter,10,2022,4
2023-01-21,21,3,1,1,2023,5,Saturday,3,21,True,,False,False,,Winter,10,2022,4
2023-01-22,22,3,1,1,2023,6,Sunday,3,22,True,,False,False,,Winter,10,2022,4
2023-01-23,23,4,1,1,2023,0,Monday,4,23,False,,False,False,,Winter,10,2022,4
2023-01-24,24,4,1,1,2023,1,Tuesday,4,24,False,,False,False,,Winter,10,2022,4
2023-01-25,25,4,1,1,2023,2,Wednesday,4,25,False,,False,False,,Winter,10,2022,4
2023-01-26,26,4,1,1,2023,3,Thursday,4,26,False,Republic Day,True,False,,Winter,10,2022,4
2023-01-27,27,4,1,1,2023,4,Friday,4,27,False,,False,False,,Winter,10,2022,4
2023-01-28,28,4,1,1,2023,5,Saturday,4,28,True,,False,False,,Winter,10,2022,4
2023-01-29,29,4,1,1,2023,6,Sunday,4,29,True,,False,False,,Winter,10,2022,4
2023-01-30,30,5,1,1,2023,0,Monday,5,30,False,,False,False,,Winter,10,2022,4
2023-01-31,31,5,1,1,2023,1,Tuesday,5,31,False,,False,False,,Winter,10,2022,4
2023-02-01,1,5,2,1,2023,2,Wednesday,5,32,False,,False,False,,Winter,11,2022,4
2023-02-02,2,5,2,1,2023,3,Thursday,5,33,False,,False,False,,Winter,11,2022,4
2023-02-03,3,5,2,1,2023,4,Friday,5,34,False,,False,False,,Winter,11,2022,4
2023-02-04,4,5,2,1,2023,5,Saturday,5,35,True,,False,False,,Winter,11,2022,4
2023-02-05,5,5,2,1,2023,6,Sunday,5,36,True,,False,False,,Winter,11,2022,4
2023-02-06,6,6,2,1,2023,0,Monday,6,37,False,,False,False,,Winter,11,2022,4
2023-02-07,7,6,2,1,2023,1,Tuesday,6,38,False,,False,False,,Winter,11,2022,4
2023-02-08,8,6,2,1,2023,2,Wednesday,6,39,False,,False,False,,Winter,11,2022,4
2023-02-09,9,6,2,1,2023,3,Thursday,6,40,False,,False,False,,Winter,11,2022,4
2023-02-10,10,6,2,1,2023,4,Friday,6,41,False,,False,False,,Winter,11,2022,4
2023-02-11,11,6,2,1,2023,5,Saturday,6,42,True,,False,False,,Winter,11,2022,4
2023-02-12,12,6,2,1,2023,6,Sunday,6,43,True,,False,False,,Winter,11,2022,4
2023-02-13,13,7,2,1,2023,0,Monday,7,44,False,,False,False,,Winter,11,2022,4
2023-02-14,14,7,2,1,2023,1,Tuesday,7,45,False,,False,False,,Winter,11,2022,4
2023-02-15,15,7,2,1,2023,2,Wednesday,7,46,False,,False,False,,Winter,11,2022,4
2023-02-16,16,7,2,1,2023,3,Thursday,7,47,False,,False,False,,Winter,11,2022,4
2023-02-17,17,7,2,1,2023,4,Friday,7,48,False,,False,False,,Winter,11,2022,4
2023-02-18,18,7,2,1,2023,5,Saturday,7,49,True,,False,False,,Winter,11,2022,4
2023-02-19,19,7,2,1,2023,6,Sunday,7,50,True,,False,False,,Winter,11,2022,4
2023-02-20,20,8,2,1,2023,0,Monday,8,51,False,,False,False,,Winter,11,2022,4
2023-02-21,21,8,2,1,2023,1,Tuesday,8,52,False,,False,False,,Winter,11,2022,4
2023-02-22,22,8,2,1,2023,2,Wednesday,8,53,False,,False,False,,Winter,11,2022,4
2023-02-23,23,8,2,1,2023,3,Thursday,8,54,False,,False,False,,Winter,11,2022,4
2023-02-24,24,8,2,1,2023,4,Friday,8,55,False,,False,False,,Winter,11,2022,4
2023-02-25,25,8,2,1,2023,5,Saturday,8,56,True,,False,False,,Winter,11,2022,4
2023-02-26,26,8,2,1,2023,6,Sunday,8,57,True,,False,False,,Winter,11,2022,4
2023-02-27,27,9,2,1,2023,0,Monday,9,58,False,,False,False,,Winter,11,2022,4
2023-02-28,28,9,2,1,2023,1,Tuesday,9,59,False,,False,False,,Winter,11,2022,4
2023-03-01,1,9,3,1,2023,2,Wednesday,9,60,False,,False,False,,Spring,12,2022,4
2023-03-02,2,9,3,1,2023,3,Thursday,9,61,False,,False,True,Holi,Spring,12,2022,4
2023-03-03,3,9,3,1,2023,4,Friday,9,62,False,,False,True,Holi,Spring,12,2022,4
2023-03-04,4,9,3,1,2023,5,Saturday,9,63,True,,False,True,Holi,Spring,12,2022,4
2023-03-05,5,9,3,1,2023,6,Sunday,9,64,True,,False,True,Holi,Spring,12,2022,4
2023-03-06,6,10,3,1,2023,0,Monday,10,65,False,,False,True,Holi,Spring,12,2022,4
2023-03-07,7,10,3,1,2023,1,Tuesday,10,66,False,,False,True,Holi,Spring,12,2022,4
2023-03-08,8,10,3,1,2023,2,Wednesday,10,67,False,,False,True,Holi,Spring,12,2022,4
2023-03-09,9,10,3,1,2023,3,Thursday,10,68,False,,False,False,,Spring,12,2022,4
2023-03-10,10,10,3,1,2023,4,Friday,10,69,False,,False,False,,Spring,12,2022,4
2023-03-11,11,10,3,1,2023,5,Saturday,10,70,True,,False,False,,Spring,12,2022,4
2023-03-12,12,10,3,1,2023,6,Sunday,10,71,True,,False,False,,Spring,12,2022,4
2023-03-13,13,11,3,1,2023,0,Monday,11,72,False,,False,False,,Spring,12,2022,4
