date,category,cost_index
2023-01-01,Beverages,1.0
2023-01-02,Beverages,1.00724
2023-01-03,Beverages,1.005719
2023-01-04,Beverages,1.005782
2023-01-05,Beverages,1.00726
2023-01-06,Beverages,1.00536
2023-01-07,Beverages,1.007869
2023-01-08,Beverages,1.013715
2023-01-09,Beverages,1.010125
2023-01-10,Beverages,1.014929
2023-01-11,Beverages,1.017107
2023-01-12,Beverages,1.016727
2023-01-13,Beverages,1.014528
2023-01-14,Beverages,1.003351
2023-01-15,Beverages,1.005672
2023-01-16,Beverages,1.007001
2023-01-17,Beverages,1.009693
2023-01-18,Beverages,1.007168
2023-01-19,Beverages,1.008301
2023-01-20,Beverages,1.01383
2023-01-21,Beverages,1.01665
2023-01-22,Beverages,1.012466
2023-01-23,Beverages,1.006545
2023-01-24,Beverages,1.008586
2023-01-25,Beverages,1.007541
2023-01-26,Beverages,1.009982
2023-01-27,Beverages,1.012208
2023-01-28,Beverages,1.011667
2023-01-29,Beverages,1.015824
2023-01-30,Beverages,1.020331
2023-01-31,Beverages,1.017287
2023-02-01,Beverages,1.019382
2023-02-02,Beverages,1.016688
2023-02-03,Beverages,1.011702
2023-02-04,Beverages,1.018378
2023-02-05,Beverages,1.01571
2023-02-06,Beverages,1.022698
2023-02-07,Beverages,1.027095
2023-02-08,Beverages,1.023341
2023-02-09,Beverages,1.020662
2023-02-10,Beverages,1.016172
2023-02-11,Beverages,1.011822
2023-02-12,Beverages,1.014035
2023-02-13,Beverages,1.016455
2023-02-14,Beverages,1.014825
2023-02-15,Beverages,1.007941
2023-02-16,Beverages,1.00948
2023-02-17,Beverages,1.005529
2023-02-18,Beverages,1.004155
2023-02-19,Beverages,1.007111
2023-02-20,Beverages,1.00754
2023-02-21,Beverages,1.009525
2023-02-22,Beverages,1.003166
2023-02-23,Beverages,0.999368
2023-02-24,Beverages,0.991069
2023-02-25,Beverages,1.000873
2023-02-26,Beverages,1.006846
2023-02-27,Beverages,1.010179
2023-02-28,Beverages,1.023451
2023-03-01,Beverages,1.02138
2023-03-02,Beverages,1.021779
2023-03-03,Beverages,1.025073
2023-03-04,Beverages,1.01982
2023-03-05,Beverages,1.016324
2023-03-06,Beverages,1.00654
2023-03-07,Beverages,0.997108
2023-03-08,Beverages,0.987411
2023-03-09,Beverages,0.976132
2023-03-10,Beverages,0.978543
2023-03-11,Beverages,0.977401
2023-03-12,Beverages,0.980153
2023-03-13,Beverages,0.987219
2023-03-14,Beverages,0.9873
2023-03-15,Beverages,0.985242
2023-03-16,Beverages,0.981138
2023-03-17,Beverages,0.975349
2023-03-18,Beverages,0.975077
2023-03-19,Beverages,0.969629
2023-03-20,Beverages,0.965292
2023-03-21,Beverages,0.961846
2023-03-22,Beverages,0.961357
2023-03-23,Beverages,0.961338
2023-03-24,Beverages,0.968178
2023-03-25,Beverages,0.969325
2023-03-26,Beverages,0.959638
2023-03-27,Beverages,0.94843
2023-03-28,Beverages,0.946017
2023-03-29,Beverages,0.949422
2023-03-30,Beverages,0.950185
2023-03-31,Beverages,0.949517
2023-04-01,Beverages,0.946838
2023-04-02,Beverages,0.944917
2023-04-03,Beverages,0.944718
2023-04-04,Beverages,0.949032
2023-04-05,Beverages,0.951975
2023-04-06,Beverages,0.95428
2023-04-07,Beverages,0.962031
2023-04-08,Beverages,0.96634
2023-04-09,Beverages,0.967696
2023-04-10,Beverages,0.973297
2023-04-11,Beverages,0.975732
2023-04-12,Beverages,0.98054
2023-04-13,Beverages,0.972607
2023-04-14,Beverages,0.981818
2023-04-15,Beverages,0.985745
2023-04-16,Beverages,0.982989
2023-04-17,Beverages,0.974021
2023-04-18,Beverages,0.979422
2023-04-19,Beverages,0.973316
2023-04-20,Beverages,0.975341
2023-04-21,Beverages,0.98207
2023-04-22,Beverages,0.984386
2023-04-23,Beverages,0.994637
2023-04-24,Beverages,0.99581
2023-04-25,Beverages,0.986882
2023-04-26,Beverages,0.991797
2023-04-27,Beverages,0.992245
2023-04-28,Beverages,0.992786
2023-04-29,Beverages,0.985421
2023-04-30,Beverages,0.982913
2023-05-01,Beverages,0.979589
2023-05-02,Beverages,0.977066
2023-05-03,Beverages,0.973404
2023-05-04,Beverages,0.980316
2023-05-05,Beverages,0.980703
2023-05-06,Beverages,0.978661
2023-05-07,Beverages,0.980982
2023-05-08,Beverages,0.983796
2023-05-09,Beverages,0.98945
2023-05-10,Beverages,0.989895
2023-05-11,Beverages,1.001003
2023-05-12,Beverages,1.004617
2023-05-13,Beverages,1.004595
2023-05-14,Beverages,1.002791
2023-05-15,Beverages,1.000252
