customer_id,segment,region,loyalty_tier,acquisition_channel,customer_since
C0000001,Loyal,South,Silver,Referral,2015-05-22
C0000002,Occasional,West,Silver,Online,2018-06-29
C0000003,Premium,West,Bronze,Partner,2023-01-19
C0000004,Value,West,Bronze,Referral,2022-07-13
C0000005,Value,East,Silver,Referral,2016-11-26
C0000006,Regular,Central,Silver,Online,2019-12-21
C0000007,Regular,South,Silver,Online,2020-09-16
C0000008,Occasional,West,Bronze,Referral,2015-07-06
C0000009,Value,South,Bronze,Online,2021-04-15
C0000010,Value,West,Bronze,Online,2021-02-20
C0000011,Regular,West,Silver,Partner,2022-02-07
C0000012,Loyal,South,Platinum,Campaign,2021-05-18
C0000013,Regular,North,Gold,Partner,2019-09-07
C0000014,Occasional,South,Silver,Online,2018-04-11
C0000015,Value,North,Bronze,Partner,2018-10-02
C0000016,Occasional,South,Bronze,Online,2015-03-08
C0000017,Value,South,Bronze,Referral,2019-07-05
C0000018,Regular,South,Silver,Online,2016-10-16
C0000019,Loyal,North,Silver,Partner,2017-12-11
C0000020,Regular,West,Silver,Online,2021-03-19
C0000021,Regular,East,Silver,Referral,2022-06-25
C0000022,Value,North,Bronze,Store Walk-in,2019-09-22
C0000023,Regular,East,Bronze,Referral,2016-03-04
C0000024,Occasional,East,Silver,Partner,2016-08-06
C0000025,Regular,Central,Silver,Campaign,2022-02-27
C0000026,Value,West,Silver,Referral,2016-01-09
C0000027,Regular,South,Bronze,Online,2016-02-15
C0000028,Loyal,South,Bronze,Partner,2018-01-12
C0000029,Regular,North,Gold,Online,2023-10-04
C0000030,Regular,North,Bronze,Referral,2015-09-11
C0000031,Regular,West,Bronze,Referral,2018-04-05
C0000032,Occasional,North,Silver,Referral,2018-03-30
C0000033,Regular,South,Gold,Campaign,2019-07-10
C0000034,Loyal,North,Bronze,Campaign,2023-10-07
C0000035,Regular,West,Silver,Campaign,2022-04-04
C0000036,Regular,West,Gold,Referral,2016-02-22
C0000037,Loyal,South,Platinum,Partner,2019-04-21
C0000038,Regular,East,Bronze,Store Walk-in,2018-11-09
C0000039,Premium,North,Gold,Referral,2017-05-15
C0000040,Regular,West,Bronze,Campaign,2021-06-24
C0000041,Premium,West,Silver,Online,2020-07-06
C0000042,Loyal,North,Gold,Referral,2022-01-05
C0000043,Regular,Central,Bronze,Partner,2020-02-27
C0000044,Regular,North,Gold,Store Walk-in,2023-09-11
C0000045,Loyal,North,Silver,Campaign,2023-06-09
C0000046,Premium,Central,Bronze,Store Walk-in,2018-12-31
C0000047,Regular,North,Gold,Campaign,2019-03-14
C0000048,Value,South,Bronze,Campaign,2019-05-25
C0000049,Value,South,Bronze,Campaign,2018-03-30
C0000050,Value,West,Silver,Referral,2020-10-29
C0000051,Regular,North,Gold,Partner,2020-08-28
C0000052,Premium,South,Silver,Referral,2020-03-05
C0000053,Value,North,Silver,Referral,2021-07-01
C0000054,Premium,North,Bronze,Campaign,2021-10-04
C0000055,Loyal,East,Gold,Store Walk-in,2020-12-02
C0000056,Premium,South,Silver,Partner,2022-05-13
C0000057,Regular,West,Silver,Online,2020-12-02
C0000058,Regular,North,Silver,Store Walk-in,2019-03-16
C0000059,Regular,East,Gold,Store Walk-in,2023-03-20
C0000060,Value,East,Bronze,Partner,2017-02-02
C0000061,Regular,Central,Silver,Campaign,2023-07-08
C0000062,Premium,East,Gold,Online,2017-08-24
C0000063,Value,North,Bronze,Campaign,2024-06-27
C0000064,Regular,East,Bronze,Campaign,2017-04-28
C0000065,Value,South,Silver,Store Walk-in,2017-05-22
C0000066,Value,South,Gold,Online,2017-05-04
C0000067,Loyal,South,Gold,Campaign,2016-08-25
C0000068,Premium,East,Silver,Referral,2019-12-20
C0000069,Regular,South,Bronze,Online,2025-03-10
C0000070,Occasional,West,Bronze,Campaign,2023-12-03
C0000071,Value,West,Bronze,Partner,2021-01-13
C0000072,Regular,South,Silver,Campaign,2016-06-25
C0000073,Loyal,West,Platinum,Campaign,2024-09-10
C0000074,Premium,East,Platinum,Referral,2017-06-21
C0000075,Premium,South,Silver,Campaign,2024-03-17
C0000076,Regular,Central,Bronze,Partner,2023-05-27
C0000077,Regular,South,Bronze,Campaign,2016-07-25
C0000078,Loyal,South,Silver,Referral,2015-09-04
C0000079,Regular,South,Silver,Partner,2015-03-17
C0000080,Regular,East,Gold,Partner,2024-04-18
C0000081,Premium,West,Platinum,Campaign,2017-01-24
C0000082,Loyal,West,Bronze,Store Walk-in,2022-02-20
C0000083,Regular,South,Silver,Store Walk-in,2019-10-15
C0000084,Occasional,South,Bronze,Partner,2018-07-31
C0000085,Regular,North,Silver,Partner,2021-12-16
C0000086,Value,South,Bronze,Campaign,2022-08-04
C0000087,Regular,North,Silver,Campaign,2023-11-04
C0000088,Occasional,South,Bronze,Store Walk-in,2015-05-31
C0000089,Regular,North,Bronze,Campaign,2024-08-29
C0000090,Loyal,West,Bronze,Online,2015-10-02
C0000091,Regular,Central,Silver,Store Walk-in,2017-02-19
C0000092,Regular,East,Bronze,Campaign,2017-10-22
C0000093,Premium,South,Silver,Partner,2023-05-01
