date,product_id,store_id,opening_inventory,received_units,sold_units,closing_inventory,stockout_flag,inventory_days
2023-01-01,P00001,S00169,724,0,129,595,False,4.61
2023-01-02,P00001,S00169,595,0,66,529,False,8.02
2023-01-03,P00001,S00169,529,0,43,486,False,11.3
2023-01-04,P00001,S00169,486,2650,175,2961,False,16.92
2023-01-05,P00001,S00169,2961,0,257,2704,False,10.52
2023-01-06,P00001,S00169,2704,0,259,2445,False,9.44
2023-01-07,P00001,S00169,2445,0,150,2295,False,15.3
2023-01-08,P00001,S00169,2295,0,321,1974,False,6.15
2023-01-09,P00001,S00169,1974,0,124,1850,False,14.92
2023-01-10,P00001,S00169,1850,0,187,1663,False,8.89
2023-01-11,P00001,S00169,1663,0,291,1372,False,4.71
2023-01-12,P00001,S00169,1372,0,128,1244,False,9.72
2023-01-13,P00001,S00169,1244,1556,494,2306,False,4.67
2023-01-14,P00001,S00169,2306,0,87,2219,False,25.51
2023-01-15,P00001,S00169,2219,0,81,2138,False,26.4
2023-01-16,P00001,S00169,2138,0,58,2080,False,35.86
2023-01-17,P00001,S00169,2080,0,53,2027,False,38.25
2023-01-18,P00001,S00169,2027,0,24,2003,False,83.46
2023-01-19,P00001,S00169,2003,0,18,1985,False,110.28
2023-01-20,P00001,S00169,1985,0,88,1897,False,21.56
2023-01-21,P00001,S00169,1897,0,162,1735,False,10.71
2023-01-22,P00001,S00169,1735,0,65,1670,False,25.69
2023-01-23,P00001,S00169,1670,0,87,1583,False,18.2
2023-01-24,P00001,S00169,1583,0,20,1563,False,78.15
2023-01-25,P00001,S00169,1563,0,60,1503,False,25.05
2023-01-26,P00001,S00169,1503,0,166,1337,False,8.05
2023-01-27,P00001,S00169,1337,0,65,1272,False,19.57
2023-01-28,P00001,S00169,1272,0,150,1122,False,7.48
2023-01-29,P00001,S00169,1122,0,94,1028,False,10.94
2023-01-30,P00001,S00169,1028,0,188,840,False,4.47
2023-01-31,P00001,S00169,840,0,43,797,False,18.53
2023-02-01,P00001,S00169,797,0,71,726,False,10.23
2023-02-02,P00001,S00169,726,1237,82,1881,False,22.94
2023-02-03,P00001,S00169,1881,0,204,1677,False,8.22
2023-02-04,P00001,S00169,1677,0,30,1647,False,54.9
2023-02-05,P00001,S00169,1647,0,64,1583,False,24.73
2023-02-06,P00001,S00169,1583,0,41,1542,False,37.61
2023-02-07,P00001,S00169,1542,0,40,1502,False,37.55
2023-02-08,P00001,S00169,1502,0,98,1404,False,14.33
2023-02-09,P00001,S00169,1404,0,60,1344,False,22.4
2023-02-10,P00001,S00169,1344,0,144,1200,False,8.33
2023-02-11,P00001,S00169,1200,0,150,1050,False,7.0
2023-02-12,P00001,S00169,1050,0,84,966,False,11.5
2023-02-13,P00001,S00169,966,0,10,956,False,95.6
2023-02-14,P00001,S00169,956,0,47,909,False,19.34
2023-02-15,P00001,S00169,909,0,73,836,False,11.45
2023-02-16,P00001,S00169,836,0,64,772,False,12.06
2023-02-17,P00001,S00169,772,0,144,628,False,4.36
2023-02-18,P00001,S00169,628,0,78,550,False,7.05
2023-02-19,P00001,S00169,550,0,67,483,False,7.21
2023-02-20,P00001,S00169,483,897,47,1333,False,28.36
2023-02-21,P00001,S00169,1333,0,56,1277,False,22.8
2023-02-22,P00001,S00169,1277,0,67,1210,False,18.06
2023-02-23,P00001,S00169,1210,0,83,1127,False,13.58
2023-02-24,P00001,S00169,1127,0,18,1109,False,61.61
2023-02-25,P00001,S00169,1109,0,94,1015,False,10.8
2023-02-26,P00001,S00169,1015,0,118,897,False,7.6
2023-02-27,P00001,S00169,897,0,55,842,False,15.31
2023-02-28,P00001,S00169,842,0,96,746,False,7.77
2023-03-01,P00001,S00169,746,0,49,697,False,14.22
2023-03-02,P00001,S00169,697,0,75,622,False,8.29
2023-03-03,P00001,S00169,622,0,123,499,False,4.06
2023-03-04,P00001,S00169,499,0,212,287,False,1.35
2023-03-05,P00001,S00169,287,683,144,826,False,5.74
2023-03-06,P00001,S00169,826,0,167,659,False,3.95
2023-03-07,P00001,S00169,659,0,119,540,False,4.54
2023-03-08,P00001,S00169,540,878,94,1324,False,14.09
2023-03-09,P00001,S00169,1324,0,134,1190,False,8.88
2023-03-10,P00001,S00169,1190,0,75,1115,False,14.87
2023-03-11,P00001,S00169,1115,0,59,1056,False,17.9
2023-03-12,P00001,S00169,1056,0,142,914,False,6.44
2023-03-13,P00001,S00169,914,0,45,869,False,19.31
2023-03-14,P00001,S00169,869,0,56,813,False,14.52
2023-03-15,P00001,S00169,813,897,71,1639,False,23.08
2023-03-16,P00001,S00169,1639,0,24,1615,False,67.29
2023-03-17,P00001,S00169,1615,0,108,1507,False,13.95
2023-03-18,P00001,S00169,1507,0,89,1418,False,15.93
2023-03-19,P00001,S00169,1418,0,60,1358,False,22.63
2023-03-20,P00001,S00169,1358,0,49,1309,False,26.71
2023-03-21,P00001,S00169,1309,0,66,1243,False,18.83
2023-03-22,P00001,S00169,1243,0,161,1082,False,6.72
2023-03-23,P00001,S00169,1082,0,90,992,False,11.02
2023-03-24,P00001,S00169,992,0,55,937,False,17.04
2023-03-25,P00001,S00169,937,0,262,675,False,2.58
2023-03-26,P00001,S00169,675,0,80,595,False,7.44
2023-03-27,P00001,S00169,595,0,31,564,False,18.19
2023-03-28,P00001,S00169,564,1101,40,1625,False,40.62
2023-03-29,P00001,S00169,1625,0,30,1595,False,53.17
2023-03-30,P00001,S00169,1595,0,92,1503,False,16.34
2023-03-31,P00001,S00169,1503,0,100,1403,False,14.03
2023-01-01,P00001,S00001,487,0,46,441,False,9.59
2023-01-02,P00001,S00001,441,0,45,396,False,8.8
2023-01-03,P00001,S00001,396,0,21,375,False,17.86
2023-01-04,P00001,S00001,375,0,20,355,False,17.75
2023-01-05,P00001,S00001,355,0,20,335,False,16.75
2023-01-06,P00001,S00001,335,0,44,291,False,6.61
2023-01-07,P00001,S00001,291,0,54,237,False,4.39
2023-01-08,P00001,S00001,237,0,20,217,False,10.85
2023-01-09,P00001,S00001,217,0,22,195,False,8.86
2023-01-10,P00001,S00001,195,0,37,158,False,4.27
2023-01-11,P00001,S00001,158,0,36,122,False,3.39
2023-01-12,P00001,S00001,122,0,16,106,False,6.62
2023-01-13,P00001,S00001,106,0,34,72,False,2.12
2023-01-14,P00001,S00001,72,625,43,654,False,15.21
2023-01-15,P00001,S00001,654,0,33,621,False,18.82
2023-01-16,P00001,S00001,621,0,46,575,False,12.5
2023-01-17,P00001,S00001,575,0,32,543,False,16.97
2023-01-18,P00001,S00001,543,0,168,375,False,2.23
2023-01-19,P00001,S00001,375,0,37,338,False,9.14
2023-01-20,P00001,S00001,338,0,72,266,False,3.69
