product_a,product_b,relationship_type,relationship_strength,cross_elasticity
P00003,P00036,substitute,strong,0.4397
P00036,P00003,substitute,strong,0.3887
P00004,P00026,substitute,strong,0.3249
P00026,P00004,substitute,moderate,0.26
P00006,P00021,substitute,strong,0.3534
P00021,P00006,substitute,moderate,0.2613
P00027,P00052,substitute,weak,0.1247
P00052,P00027,substitute,weak,0.0823
P00025,P00040,substitute,weak,0.096
P00040,P00025,substitute,weak,0.0529
P00022,P00042,substitute,weak,0.1377
P00042,P00022,substitute,weak,0.1271
P00017,P00030,substitute,moderate,0.1559
P00030,P00017,substitute,weak,0.1225
P00017,P00047,substitute,moderate,0.1789
P00047,P00017,substitute,moderate,0.1725
P00039,P00047,substitute,weak,0.0618
P00047,P00039,substitute,weak,0.0374
P00013,P00025,complement,moderate,-0.2387
P00025,P00013,complement,moderate,-0.1633
P00022,P00036,complement,strong,-0.3326
P00036,P00022,complement,moderate,-0.2952
P00059,P00097,substitute,strong,0.3101
P00097,P00059,substitute,moderate,0.2661
P00061,P00100,substitute,strong,0.5516
P00100,P00061,substitute,strong,0.4453
P00088,P00093,substitute,strong,0.3637
P00093,P00088,substitute,moderate,0.289
P00064,P00091,substitute,weak,0.1273
P00091,P00064,substitute,weak,0.0835
P00070,P00100,substitute,weak,0.097
P00100,P00070,substitute,weak,0.0848
P00072,P00093,substitute,moderate,0.1721
P00093,P00072,substitute,weak,0.1143
P00062,P00086,substitute,moderate,0.1767
P00086,P00062,substitute,moderate,0.1713
P00064,P00071,substitute,weak,0.0731
P00071,P00064,substitute,weak,0.0535
P00058,P00096,substitute,weak,0.1132
P00096,P00058,substitute,weak,0.0778
P00065,P00089,complement,moderate,-0.2492
P00089,P00065,complement,moderate,-0.217
P00081,P00102,complement,moderate,-0.2873
P00102,P00081,complement,moderate,-0.1978
P00130,P00146,substitute,strong,0.4969
P00146,P00130,substitute,strong,0.3202
P00145,P00147,substitute,strong,0.4119
P00147,P00145,substitute,strong,0.3785
P00107,P00122,substitute,strong,0.5941
P00122,P00107,substitute,strong,0.4198
P00109,P00146,substitute,weak,0.0928
P00146,P00109,substitute,weak,0.079
P00130,P00134,substitute,weak,0.0822
P00134,P00130,substitute,weak,0.0453
P00104,P00113,substitute,weak,0.1394
P00113,P00104,substitute,weak,0.0854
P00122,P00145,substitute,weak,0.1325
P00145,P00122,substitute,weak,0.1218
P00112,P00143,substitute,weak,0.1483
P00143,P00112,substitute,weak,0.0823
P00132,P00134,substitute,weak,0.0605
P00134,P00132,substitute,weak,0.0576
P00119,P00120,complement,moderate,-0.207
P00120,P00119,complement,weak,-0.1174
P00162,P00163,substitute,strong,0.3126
P00163,P00162,substitute,moderate,0.2279
P00162,P00176,substitute,strong,0.4109
P00176,P00162,substitute,strong,0.3285
P00175,P00180,substitute,strong,0.5514
P00180,P00175,substitute,strong,0.3266
P00166,P00175,substitute,weak,0.0668
P00175,P00166,substitute,weak,0.0406
P00159,P00185,substitute,moderate,0.1609
P00185,P00159,substitute,weak,0.1274
P00182,P00184,substitute,moderate,0.1611
P00184,P00182,substitute,weak,0.0848
P00149,P00169,substitute,moderate,0.1703
P00169,P00149,substitute,weak,0.1301
P00160,P00186,substitute,weak,0.0586
P00186,P00160,substitute,weak,0.0303
P00159,P00183,substitute,moderate,0.1673
P00183,P00159,substitute,weak,0.1443
P00150,P00167,complement,strong,-0.312
P00167,P00150,complement,moderate,-0.2019
P00155,P00178,complement,moderate,-0.2536
P00178,P00155,complement,weak,-0.1397
P00194,P00199,substitute,strong,0.4975
P00199,P00194,substitute,strong,0.436
P00189,P00227,substitute,strong,0.5293
P00227,P00189,substitute,strong,0.4979
P00187,P00212,substitute,strong,0.4562
P00212,P00187,substitute,strong,0.4284
P00206,P00222,substitute,weak,0.1068
P00222,P00206,substitute,weak,0.0624
P00212,P00218,substitute,weak,0.0589
P00218,P00212,substitute,weak,0.0532
P00198,P00225,substitute,weak,0.0834
P00225,P00198,substitute,weak,0.046
P00193,P00227,substitute,weak,0.0673
P00227,P00193,substitute,weak,0.0379
P00193,P00224,substitute,weak,0.1165
P00224,P00193,substitute,weak,0.1046
P00225,P00229,substitute,weak,0.0943
P00229,P00225,substitute,weak,0.0538
P00205,P00211,complement,moderate,-0.2845
P00211,P00205,complement,moderate,-0.2196
P00188,P00225,complement,strong,-0.3067
P00225,P00188,complement,moderate,-0.2232
P00238,P00246,substitute,strong,0.5746
P00246,P00238,substitute,strong,0.3658
P00235,P00241,substitute,strong,0.4242
P00241,P00235,substitute,moderate,0.2364
P00264,P00265,substitute,strong,0.4779
