promotion_id,product_id,store_id,promotion_type,start_date,end_date,duration_days,discount_percentage,display_flag,bundle_flag,promotion_channel,region,promotion_units,promotion_spend
PR0000001,P00001,S00169,Price Discount,2023-01-05,2023-01-14,10,39.69,True,False,In-store,South,2298,65702.94
PR0000002,P00001,S00169,Display,2023-09-21,2023-10-01,11,10.65,True,False,Digital,South,914,35608.55
PR0000003,P00001,S00169,Bundle,2024-01-06,2024-01-24,19,7.91,False,True,In-store,South,1616,162173.58
PR0000004,P00001,S00169,Loyalty Offer,2024-03-18,2024-03-31,14,8.4,False,False,In-store,South,2411,60101.2
PR0000005,P00001,S00169,Buy One Get One,2024-04-08,2024-04-15,8,8.53,True,False,Both,South,1872,180376.67
PR0000006,P00001,S00169,Coupon,2024-07-06,2024-07-23,18,13.43,False,False,Both,South,1913,120718.63
PR0000007,P00001,S00169,Price Discount,2024-08-04,2024-08-13,10,27.53,False,False,In-store,South,1416,193991.31
PR0000008,P00001,S00169,Price Discount,2024-12-02,2024-12-18,17,39.55,False,False,Both,South,2248,126261.87
PR0000009,P00001,S00169,Price Discount,2025-01-11,2025-01-27,17,14.94,False,False,In-store,South,1937,98739.55
PR0000010,P00001,S00169,Price Discount,2025-04-27,2025-05-12,16,12.66,False,False,Both,South,2035,26664.22
PR0000011,P00001,S00169,Loyalty Offer,2025-06-06,2025-06-17,12,22.87,True,False,In-store,South,1535,111604.17
PR0000012,P00001,S00169,Bundle,2025-09-20,2025-10-02,13,14.83,False,True,In-store,South,895,117753.59
PR0000013,P00001,S00169,Buy One Get One,2025-11-22,2025-11-28,7,34.86,False,False,Digital,South,1301,78342.17
PR0000014,P00001,S00001,Display,2023-01-18,2023-01-22,5,23.82,True,False,In-store,Central,420,167436.54
PR0000015,P00001,S00001,Coupon,2023-05-11,2023-05-31,21,15.35,False,False,In-store,Central,1394,98255.58
PR0000016,P00001,S00001,Display,2023-08-21,2023-08-27,7,27.49,True,False,Both,Central,490,19606.16
PR0000017,P00001,S00001,Buy One Get One,2024-01-03,2024-01-21,19,28.58,False,False,In-store,Central,1134,216867.79
PR0000018,P00001,S00001,Coupon,2024-02-11,2024-02-16,6,27.17,False,False,Digital,Central,347,107041.95
PR0000019,P00001,S00001,Bundle,2024-04-04,2024-04-18,15,34.51,False,True,Both,Central,2327,100341.32
PR0000020,P00001,S00001,Price Discount,2024-05-30,2024-06-16,18,5.23,False,False,In-store,Central,821,112000.49
PR0000021,P00001,S00001,Bundle,2024-09-02,2024-09-13,12,37.59,False,True,In-store,Central,1033,167739.76
PR0000022,P00001,S00001,Coupon,2025-07-14,2025-08-02,20,21.74,False,False,Digital,Central,821,57901.08
PR0000023,P00001,S00001,Coupon,2025-12-13,2025-12-23,11,19.35,False,False,Digital,Central,398,167062.72
PR0000024,P00001,S00117,Price Discount,2023-01-02,2023-01-10,9,29.93,False,False,Digital,East,1049,102057.23
PR0000025,P00001,S00117,Price Discount,2023-01-12,2023-01-17,6,27.0,False,False,Both,East,346,153579.81
PR0000026,P00001,S00117,Coupon,2023-03-16,2023-03-29,14,34.04,False,False,In-store,East,1587,45611.19
PR0000027,P00001,S00117,Display,2023-05-08,2023-05-14,7,11.37,True,False,In-store,East,628,38075.48
PR0000028,P00001,S00117,Display,2023-08-19,2023-08-25,7,20.45,True,False,Both,East,534,52416.45
PR0000029,P00001,S00117,Coupon,2023-11-19,2023-12-02,14,10.0,False,False,Both,East,616,216073.74
PR0000030,P00001,S00117,Display,2024-01-29,2024-02-17,20,39.34,True,False,Digital,East,3363,82268.78
PR0000031,P00001,S00117,Price Discount,2024-04-09,2024-04-15,7,22.73,False,False,Both,East,944,37658.07
PR0000032,P00001,S00117,Bundle,2024-04-30,2024-05-10,11,33.53,True,True,In-store,East,1670,193874.12
PR0000033,P00001,S00117,Display,2024-05-13,2024-05-21,9,37.06,True,False,In-store,East,1908,157127.09
PR0000034,P00001,S00117,Price Discount,2024-05-22,2024-06-08,18,13.13,False,False,Digital,East,1326,152713.67
PR0000035,P00001,S00117,Loyalty Offer,2024-06-09,2024-06-20,12,32.65,False,False,Both,East,1059,149513.74
PR0000036,P00001,S00117,Price Discount,2024-06-28,2024-07-08,11,31.46,False,False,In-store,East,1496,216897.2
PR0000037,P00001,S00117,Price Discount,2024-07-25,2024-08-03,10,5.64,False,False,Digital,East,481,80019.43
PR0000038,P00001,S00117,Bundle,2024-08-18,2024-08-23,6,23.7,False,True,Both,East,225,163708.07
PR0000039,P00001,S00117,Bundle,2025-04-02,2025-04-07,6,25.24,False,True,Both,East,510,45694.67
PR0000040,P00001,S00117,Coupon,2025-04-12,2025-04-18,7,35.73,False,False,In-store,East,1103,173821.06
PR0000041,P00001,S00117,Display,2025-08-25,2025-09-09,16,7.25,True,False,In-store,East,735,168848.7
PR0000042,P00001,S00181,Display,2023-02-21,2023-03-10,18,16.34,True,False,In-store,West,2492,142133.15
PR0000043,P00001,S00181,Price Discount,2023-04-28,2023-05-09,12,7.28,False,False,Digital,West,1032,177633.51
PR0000044,P00001,S00181,Bundle,2023-07-26,2023-07-31,6,29.42,False,True,Digital,West,594,209738.3
