date,product_id,store_id,channel,units,regular_price,selling_price,discount_percentage,revenue,cost,gross_profit,promotion_id,promotion_flag,inventory_available,stockout_flag
2023-01-01,P00001,S00169,Supermarket,129,108.79,108.79,0.0,14033.91,9115.14,4918.77,,False,724,False
2023-01-02,P00001,S00169,Supermarket,66,108.79,108.79,0.0,7180.14,4663.56,2516.58,,False,595,False
2023-01-03,P00001,S00169,Supermarket,43,108.79,108.79,0.0,4677.97,3038.38,1639.59,,False,529,False
2023-01-04,P00001,S00169,Supermarket,175,108.79,108.79,0.0,19038.25,12365.5,6672.75,,False,3136,False
2023-01-05,P00001,S00169,Supermarket,257,108.79,65.62,39.69,16864.34,18159.62,-1295.28,PR0000001,True,2961,False
2023-01-06,P00001,S00169,Supermarket,259,108.79,65.62,39.69,16995.58,18300.94,-1305.36,PR0000001,True,2704,False
2023-01-07,P00001,S00169,Supermarket,150,108.79,65.62,39.69,9843.0,10599.0,-756.0,PR0000001,True,2445,False
2023-01-08,P00001,S00169,Supermarket,321,108.79,65.62,39.69,21064.02,22681.86,-1617.84,PR0000001,True,2295,False
2023-01-09,P00001,S00169,Supermarket,124,108.79,65.62,39.69,8136.88,8761.84,-624.96,PR0000001,True,1974,False
2023-01-10,P00001,S00169,Supermarket,187,108.79,65.62,39.69,12270.94,13213.42,-942.48,PR0000001,True,1850,False
2023-01-11,P00001,S00169,Supermarket,291,108.79,65.62,39.69,19095.42,20562.06,-1466.64,PR0000001,True,1663,False
2023-01-12,P00001,S00169,Supermarket,128,108.79,65.62,39.69,8399.36,9044.48,-645.12,PR0000001,True,1372,False
2023-01-13,P00001,S00169,Supermarket,494,108.79,65.62,39.69,32416.28,34906.04,-2489.76,PR0000001,True,2800,False
2023-01-14,P00001,S00169,Supermarket,87,108.79,65.62,39.69,5708.94,6147.42,-438.48,PR0000001,True,2306,False
2023-01-15,P00001,S00169,Supermarket,81,108.79,108.79,0.0,8811.99,5723.46,3088.53,,False,2219,False
2023-01-16,P00001,S00169,Supermarket,58,108.79,108.79,0.0,6309.82,4098.28,2211.54,,False,2138,False
2023-01-17,P00001,S00169,Supermarket,53,108.79,108.79,0.0,5765.87,3744.98,2020.89,,False,2080,False
2023-01-18,P00001,S00169,Supermarket,24,108.79,108.79,0.0,2610.96,1695.84,915.12,,False,2027,False
2023-01-19,P00001,S00169,Supermarket,18,108.79,108.79,0.0,1958.22,1271.88,686.34,,False,2003,False
2023-01-20,P00001,S00169,Supermarket,88,108.79,108.79,0.0,9573.52,6218.08,3355.44,,False,1985,False
2023-01-21,P00001,S00169,Supermarket,162,108.79,108.79,0.0,17623.98,11446.92,6177.06,,False,1897,False
2023-01-22,P00001,S00169,Supermarket,65,108.79,108.79,0.0,7071.35,4592.9,2478.45,,False,1735,False
2023-01-23,P00001,S00169,Supermarket,87,108.79,108.79,0.0,9464.73,6147.42,3317.31,,False,1670,False
2023-01-24,P00001,S00169,Supermarket,20,108.79,108.79,0.0,2175.8,1413.2,762.6,,False,1583,False
2023-01-25,P00001,S00169,Supermarket,60,108.79,108.79,0.0,6527.4,4239.6,2287.8,,False,1563,False
2023-01-26,P00001,S00169,Supermarket,166,108.79,108.79,0.0,18059.14,11729.56,6329.58,,False,1503,False
2023-01-27,P00001,S00169,Supermarket,65,108.79,108.79,0.0,7071.35,4592.9,2478.45,,False,1337,False
2023-01-28,P00001,S00169,Supermarket,150,108.79,108.79,0.0,16318.5,10599.0,5719.5,,False,1272,False
2023-01-29,P00001,S00169,Supermarket,94,108.79,108.79,0.0,10226.26,6642.04,3584.22,,False,1122,False
2023-01-30,P00001,S00169,Supermarket,188,108.79,108.79,0.0,20452.52,13284.08,7168.44,,False,1028,False
2023-01-31,P00001,S00169,Supermarket,43,108.79,108.79,0.0,4677.97,3038.38,1639.59,,False,840,False
2023-02-01,P00001,S00169,Supermarket,71,108.79,108.79,0.0,7724.09,5016.86,2707.23,,False,797,False
2023-02-02,P00001,S00169,Supermarket,82,108.79,108.79,0.0,8920.78,5794.12,3126.66,,False,1963,False
2023-02-03,P00001,S00169,Supermarket,204,108.79,108.79,0.0,22193.16,14414.64,7778.52,,False,1881,False
2023-02-04,P00001,S00169,Supermarket,30,108.79,108.79,0.0,3263.7,2119.8,1143.9,,False,1677,False
2023-02-05,P00001,S00169,Supermarket,64,108.79,108.79,0.0,6962.56,4522.24,2440.32,,False,1647,False
2023-02-06,P00001,S00169,Supermarket,41,108.79,108.79,0.0,4460.39,2897.06,1563.33,,False,1583,False
2023-02-07,P00001,S00169,Supermarket,40,108.79,108.79,0.0,4351.6,2826.4,1525.2,,False,1542,False
2023-02-08,P00001,S00169,Supermarket,98,108.79,108.79,0.0,10661.42,6924.68,3736.74,,False,1502,False
2023-02-09,P00001,S00169,Supermarket,60,108.79,108.79,0.0,6527.4,4239.6,2287.8,,False,1404,False
2023-02-10,P00001,S00169,Supermarket,144,108.79,108.79,0.0,15665.76,10175.04,5490.72,,False,1344,False
2023-02-11,P00001,S00169,Supermarket,150,108.79,108.79,0.0,16318.5,10599.0,5719.5,,False,1200,False
2023-02-12,P00001,S00169,Supermarket,84,108.79,108.79,0.0,9138.36,5935.44,3202.92,,False,1050,False
2023-02-13,P00001,S00169,Supermarket,10,108.79,108.79,0.0,1087.9,706.6,381.3,,False,966,False
2023-02-14,P00001,S00169,Supermarket,47,108.79,108.79,0.0,5113.13,3321.02,1792.11,,False,956,False
2023-02-15,P00001,S00169,Supermarket,73,108.79,108.79,0.0,7941.67,5158.18,2783.49,,False,909,False
2023-02-16,P00001,S00169,Supermarket,64,108.79,108.79,0.0,6962.56,4522.24,2440.32,,False,836,False
2023-02-17,P00001,S00169,Supermarket,144,108.79,108.79,0.0,15665.76,10175.04,5490.72,,False,772,False
2023-02-18,P00001,S00169,Supermarket,78,108.79,108.79,0.0,8485.62,5511.48,2974.14,,False,628,False
2023-02-19,P00001,S00169,Supermarket,67,108.79,108.79,0.0,7288.93,4734.22,2554.71,,False,550,False
2023-02-20,P00001,S00169,Supermarket,47,108.79,108.79,0.0,5113.13,3321.02,1792.11,,False,1380,False
2023-02-21,P00001,S00169,Supermarket,56,108.79,108.79,0.0,6092.24,3956.96,2135.28,,False,1333,False
2023-02-22,P00001,S00169,Supermarket,67,108.79,108.79,0.0,7288.93,4734.22,2554.71,,False,1277,False
2023-02-23,P00001,S00169,Supermarket,83,108.79,108.79,0.0,9029.57,5864.78,3164.79,,False,1210,False
2023-02-24,P00001,S00169,Supermarket,18,108.79,108.79,0.0,1958.22,1271.88,686.34,,False,1127,False
2023-02-25,P00001,S00169,Supermarket,94,108.79,108.79,0.0,10226.26,6642.04,3584.22,,False,1109,False
2023-02-26,P00001,S00169,Supermarket,118,108.79,108.79,0.0,12837.22,8337.88,4499.34,,False,1015,False
2023-02-27,P00001,S00169,Supermarket,55,108.79,108.79,0.0,5983.45,3886.3,2097.15,,False,897,False
2023-02-28,P00001,S00169,Supermarket,96,108.79,108.79,0.0,10443.84,6783.36,3660.48,,False,842,False
2023-03-01,P00001,S00169,Supermarket,49,108.79,108.79,0.0,5330.71,3462.34,1868.37,,False,746,False
2023-03-02,P00001,S00169,Supermarket,75,108.79,108.79,0.0,8159.25,5299.5,2859.75,,False,697,False
2023-03-03,P00001,S00169,Supermarket,123,108.79,108.79,0.0,13381.17,8691.18,4689.99,,False,622,False
2023-03-04,P00001,S00169,Supermarket,212,108.79,108.79,0.0,23063.48,14979.92,8083.56,,False,499,False
2023-03-05,P00001,S00169,Supermarket,144,108.79,108.79,0.0,15665.76,10175.04,5490.72,,False,970,False
2023-03-06,P00001,S00169,Supermarket,167,108.79,108.79,0.0,18167.93,11800.22,6367.71,,False,826,False
2023-03-07,P00001,S00169,Supermarket,119,108.79,108.79,0.0,12946.01,8408.54,4537.47,,False,659,False
2023-03-08,P00001,S00169,Supermarket,94,108.79,108.79,0.0,10226.26,6642.04,3584.22,,False,1418,False
2023-03-09,P00001,S00169,Supermarket,134,108.79,108.79,0.0,14577.86,9468.44,5109.42,,False,1324,False
2023-03-10,P00001,S00169,Supermarket,75,108.79,108.79,0.0,8159.25,5299.5,2859.75,,False,1190,False
2023-03-11,P00001,S00169,Supermarket,59,108.79,108.79,0.0,6418.61,4168.94,2249.67,,False,1115,False
