period,product_id,store_id,units,revenue,cost,gross_profit,promo_days,stockout_days,days,avg_selling_price
2023-01,P00001,S00001,1283,123465.51,90656.78,32808.73,5,0,31,100.36
2023-01,P00001,S00030,1937,193157.64,136868.42,56289.22,0,4,31,99.72
2023-01,P00001,S00046,1327,135062.06,93765.82,41296.24,0,0,31,101.78
2023-01,P00001,S00059,578,41179.78,40841.479999999996,338.29999999999995,15,0,31,82.31
2023-01,P00001,S00117,2037,162280.32,143934.42,18345.9,15,0,31,85.72
2023-01,P00001,S00169,4133,350424.41,292037.77999999997,58386.63,10,0,31,94.86
2023-01,P00001,S00180,987,98988.73,69741.42,29247.31,15,3,31,100.46
2023-01,P00001,S00181,1596,167548.08,112773.36,54774.72,0,0,31,104.98
2023-01,P00002,S00001,0,0.0,0.0,0.0,0,0,31,65.96
2023-01,P00002,S00023,0,0.0,0.0,0.0,10,0,31,66.95
2023-01,P00002,S00027,0,0.0,0.0,0.0,8,0,31,61.9
2023-01,P00002,S00030,0,0.0,0.0,0.0,0,0,31,66.49
2023-01,P00002,S00038,0,0.0,0.0,0.0,16,0,31,57.16
2023-01,P00002,S00043,0,0.0,0.0,0.0,0,0,31,68.3
2023-01,P00002,S00053,0,0.0,0.0,0.0,7,0,31,64.88
2023-01,P00002,S00073,0,0.0,0.0,0.0,0,0,31,71.92
2023-01,P00002,S00079,0,0.0,0.0,0.0,10,0,31,61.49
2023-01,P00002,S00099,0,0.0,0.0,0.0,13,0,31,63.02
2023-01,P00002,S00113,0,0.0,0.0,0.0,0,0,31,67.8
2023-01,P00002,S00117,0,0.0,0.0,0.0,0,0,31,66.36
2023-01,P00002,S00119,0,0.0,0.0,0.0,0,0,31,65.87
2023-01,P00002,S00124,0,0.0,0.0,0.0,13,0,31,62.41
2023-01,P00002,S00139,0,0.0,0.0,0.0,6,0,31,66.18
2023-01,P00002,S00163,0,0.0,0.0,0.0,18,0,31,63.17
2023-01,P00002,S00164,0,0.0,0.0,0.0,9,0,31,66.73
2023-01,P00002,S00169,0,0.0,0.0,0.0,0,0,31,70.09
2023-01,P00002,S00173,0,0.0,0.0,0.0,15,0,31,57.12
2023-01,P00002,S00177,0,0.0,0.0,0.0,0,0,31,66.5
2023-01,P00002,S00193,0,0.0,0.0,0.0,14,0,31,59.18
2023-01,P00003,S00014,1044,40515.45,25651.08,14864.37,1,0,31,39.74
2023-01,P00003,S00021,2681,87355.21,65872.17,21483.04,23,3,31,33.37
2023-01,P00003,S00025,3550,90571.37,87223.5,3347.87,21,8,31,28.5
2023-01,P00003,S00026,1339,48713.62,32899.23,15814.39,6,0,31,37.01
