transaction_id,date,product_id,store_id,customer_id,units,regular_price,selling_price,discount_percentage,revenue,cost,gross_profit,promotion_id,channel
T0000000001,2023-02-14,P00238,S00094,C0020413,5,119.32,119.32,0.0,596.6,403.15,193.45,,Convenience
T0000000002,2023-02-14,P00238,S00094,C0012814,4,119.32,119.32,0.0,477.28,322.52,154.76,,Convenience
T0000000003,2023-02-04,P00128,S00012,C0027787,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000004,2023-02-04,P00128,S00012,C0005320,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000005,2023-02-04,P00128,S00012,C0029809,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000006,2023-02-04,P00128,S00012,C0028664,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000007,2023-02-04,P00128,S00012,C0016874,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000008,2023-02-04,P00128,S00012,C0020594,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000009,2023-02-04,P00128,S00012,C0013142,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000010,2023-02-04,P00128,S00012,C0016779,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000011,2023-02-04,P00128,S00012,C0020309,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000012,2023-02-04,P00128,S00012,C0002670,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000013,2023-02-04,P00128,S00012,C0016528,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000014,2023-02-04,P00128,S00012,C0014734,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000015,2023-02-04,P00128,S00012,C0016546,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000016,2023-02-04,P00128,S00012,C0021381,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000017,2023-02-04,P00128,S00012,C0026648,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000018,2023-02-04,P00128,S00012,C0015396,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000019,2023-02-04,P00128,S00012,C0004239,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000020,2023-02-04,P00128,S00012,C0011180,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000021,2023-02-04,P00128,S00012,C0022177,3,244.92,244.92,0.0,734.76,366.36,368.4,,Supermarket
T0000000022,2023-01-11,P00018,S00072,C0015951,10,109.47,83.67,23.56,836.7,683.8,152.9,PR0005514,Supermarket
T0000000023,2023-01-11,P00018,S00072,C0022472,10,109.47,83.67,23.56,836.7,683.8,152.9,PR0005514,Supermarket
T0000000024,2023-01-11,P00018,S00072,C0013479,10,109.47,83.67,23.56,836.7,683.8,152.9,PR0005514,Supermarket
T0000000025,2023-01-11,P00018,S00072,C0012751,10,109.47,83.67,23.56,836.7,683.8,152.9,PR0005514,Supermarket
T0000000026,2023-01-11,P00018,S00072,C0027167,10,109.47,83.67,23.56,836.7,683.8,152.9,PR0005514,Supermarket
T0000000027,2023-01-11,P00018,S00072,C0016625,10,109.47,83.67,23.56,836.7,683.8,152.9,PR0005514,Supermarket
T0000000028,2023-01-11,P00018,S00072,C0008556,10,109.47,83.67,23.56,836.7,683.8,152.9,PR0005514,Supermarket
T0000000029,2023-01-11,P00018,S00072,C0017855,10,109.47,83.67,23.56,836.7,683.8,152.9,PR0005514,Supermarket
T0000000030,2023-01-11,P00018,S00072,C0025301,10,109.47,83.67,23.56,836.7,683.8,152.9,PR0005514,Supermarket
T0000000031,2023-01-11,P00018,S00072,C0015222,10,109.47,83.67,23.56,836.7,683.8,152.9,PR0005514,Supermarket
T0000000032,2023-01-11,P00018,S00072,C0005603,10,109.47,83.67,23.56,836.7,683.8,152.9,PR0005514,Supermarket
T0000000033,2023-01-11,P00018,S00072,C0025297,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000034,2023-01-11,P00018,S00072,C0015323,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000035,2023-01-11,P00018,S00072,C0022246,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000036,2023-01-11,P00018,S00072,C0004263,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000037,2023-01-11,P00018,S00072,C0004819,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000038,2023-01-11,P00018,S00072,C0025163,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000039,2023-01-11,P00018,S00072,C0022351,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000040,2023-01-11,P00018,S00072,C0006388,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000041,2023-01-11,P00018,S00072,C0012294,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000042,2023-01-11,P00018,S00072,C0023145,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000043,2023-01-11,P00018,S00072,C0009633,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000044,2023-01-11,P00018,S00072,C0019364,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000045,2023-01-11,P00018,S00072,C0005642,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000046,2023-01-11,P00018,S00072,C0016719,9,109.47,83.67,23.56,753.03,615.42,137.61,PR0005514,Supermarket
T0000000047,2023-02-24,P00149,S00181,C0018016,5,61.23,54.37,11.21,271.85,161.45,110.4,PR0044595,Hypermarket
T0000000048,2023-02-24,P00149,S00181,C0010240,5,61.23,54.37,11.21,271.85,161.45,110.4,PR0044595,Hypermarket
T0000000049,2023-02-24,P00149,S00181,C0010643,5,61.23,54.37,11.21,271.85,161.45,110.4,PR0044595,Hypermarket
T0000000050,2023-02-24,P00149,S00181,C0014570,5,61.23,54.37,11.21,271.85,161.45,110.4,PR0044595,Hypermarket
T0000000051,2023-02-24,P00149,S00181,C0016381,5,61.23,54.37,11.21,271.85,161.45,110.4,PR0044595,Hypermarket
T0000000052,2023-02-24,P00149,S00181,C0013579,5,61.23,54.37,11.21,271.85,161.45,110.4,PR0044595,Hypermarket
T0000000053,2023-02-24,P00149,S00181,C0019497,5,61.23,54.37,11.21,271.85,161.45,110.4,PR0044595,Hypermarket
T0000000054,2023-02-24,P00149,S00181,C0006747,5,61.23,54.37,11.21,271.85,161.45,110.4,PR0044595,Hypermarket
T0000000055,2023-02-24,P00149,S00181,C0002457,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000056,2023-02-24,P00149,S00181,C0016408,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000057,2023-02-24,P00149,S00181,C0007837,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000058,2023-02-24,P00149,S00181,C0014806,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000059,2023-02-24,P00149,S00181,C0007338,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000060,2023-02-24,P00149,S00181,C0000080,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000061,2023-02-24,P00149,S00181,C0010455,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000062,2023-02-24,P00149,S00181,C0007086,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000063,2023-02-24,P00149,S00181,C0024674,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000064,2023-02-24,P00149,S00181,C0019605,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000065,2023-02-24,P00149,S00181,C0026157,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000066,2023-02-24,P00149,S00181,C0007860,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000067,2023-02-24,P00149,S00181,C0021157,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000068,2023-02-24,P00149,S00181,C0006333,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000069,2023-02-24,P00149,S00181,C0022029,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000070,2023-02-24,P00149,S00181,C0001226,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000071,2023-02-24,P00149,S00181,C0001226,4,61.23,54.37,11.21,217.48,129.16,88.32,PR0044595,Hypermarket
T0000000072,2023-01-07,P00107,S00081,C0022261,4,240.18,240.18,0.0,960.72,465.12,495.6,,Hypermarket
T0000000073,2023-01-07,P00107,S00081,C0025086,4,240.18,240.18,0.0,960.72,465.12,495.6,,Hypermarket
T0000000074,2023-01-07,P00107,S00081,C0015683,4,240.18,240.18,0.0,960.72,465.12,495.6,,Hypermarket
T0000000075,2023-01-07,P00107,S00081,C0001327,4,240.18,240.18,0.0,960.72,465.12,495.6,,Hypermarket
T0000000076,2023-01-07,P00107,S00081,C0014468,4,240.18,240.18,0.0,960.72,465.12,495.6,,Hypermarket
