period,product_id,store_id,units,revenue,cost,gross_profit,promo_days,stockout_days,days,avg_selling_price
2022-12-26/2023-01-01,P00001,S00001,46,4801.02,3250.36,1550.66,0,0,1,104.37
2022-12-26/2023-01-01,P00001,S00030,31,3091.32,2190.46,900.86,0,0,1,99.72
2022-12-26/2023-01-01,P00001,S00046,41,4172.98,2897.06,1275.92,0,0,1,101.78
2022-12-26/2023-01-01,P00001,S00059,29,1804.38,2049.14,-244.76,1,0,1,62.22
2022-12-26/2023-01-01,P00001,S00117,47,4680.26,3321.02,1359.24,0,0,1,99.58
2022-12-26/2023-01-01,P00001,S00169,129,14033.91,9115.14,4918.77,0,0,1,108.79
2022-12-26/2023-01-01,P00001,S00180,16,1553.76,1130.56,423.2,1,0,1,97.11
2022-12-26/2023-01-01,P00001,S00181,46,4829.08,3250.36,1578.72,0,0,1,104.98
2022-12-26/2023-01-01,P00002,S00001,0,0.0,0.0,0.0,0,0,1,65.96
2022-12-26/2023-01-01,P00002,S00023,0,0.0,0.0,0.0,0,0,1,68.24
2022-12-26/2023-01-01,P00002,S00027,0,0.0,0.0,0.0,0,0,1,67.96
2022-12-26/2023-01-01,P00002,S00030,0,0.0,0.0,0.0,0,0,1,66.49
2022-12-26/2023-01-01,P00002,S00038,0,0.0,0.0,0.0,0,0,1,67.29
2022-12-26/2023-01-01,P00002,S00043,0,0.0,0.0,0.0,0,0,1,68.3
2022-12-26/2023-01-01,P00002,S00053,0,0.0,0.0,0.0,0,0,1,68.15
2022-12-26/2023-01-01,P00002,S00073,0,0.0,0.0,0.0,0,0,1,71.92
2022-12-26/2023-01-01,P00002,S00079,0,0.0,0.0,0.0,0,0,1,69.24
2022-12-26/2023-01-01,P00002,S00099,0,0.0,0.0,0.0,0,0,1,67.55
2022-12-26/2023-01-01,P00002,S00113,0,0.0,0.0,0.0,0,0,1,67.8
2022-12-26/2023-01-01,P00002,S00117,0,0.0,0.0,0.0,0,0,1,66.36
2022-12-26/2023-01-01,P00002,S00119,0,0.0,0.0,0.0,0,0,1,65.87
2022-12-26/2023-01-01,P00002,S00124,0,0.0,0.0,0.0,0,0,1,65.44
2022-12-26/2023-01-01,P00002,S00139,0,0.0,0.0,0.0,0,0,1,70.72
2022-12-26/2023-01-01,P00002,S00163,0,0.0,0.0,0.0,0,0,1,67.84
2022-12-26/2023-01-01,P00002,S00164,0,0.0,0.0,0.0,0,0,1,70.31
2022-12-26/2023-01-01,P00002,S00169,0,0.0,0.0,0.0,0,0,1,70.09
2022-12-26/2023-01-01,P00002,S00173,0,0.0,0.0,0.0,1,0,1,43.35
2022-12-26/2023-01-01,P00002,S00177,0,0.0,0.0,0.0,0,0,1,66.5
2022-12-26/2023-01-01,P00002,S00193,0,0.0,0.0,0.0,0,0,1,68.47
2022-12-26/2023-01-01,P00003,S00014,30,1201.5,737.1,464.4,0,0,1,40.05
2022-12-26/2023-01-01,P00003,S00021,112,4299.68,2751.84,1547.84,0,0,1,38.39
2022-12-26/2023-01-01,P00003,S00025,32,1239.04,786.24,452.8,0,0,1,38.72
2022-12-26/2023-01-01,P00003,S00026,24,913.92,589.68,324.24,0,0,1,38.08
