trade_promo_id,retailer,product_id,region,start_date,end_date,planned_spend,actual_spend,expected_uplift,actual_uplift,margin,roi
TP000001,GreenGrocer,P00217,South,2023-07-09,2023-07-29,340604.88,381221.13,0.4255,0.3977,0.3048,0.3143
TP000002,QuickShop,P00181,South,2025-05-14,2025-05-24,1096568.29,1125275.05,0.2994,0.3804,0.4823,1.0518
TP000003,Metro Retail,P00092,West,2024-04-26,2024-05-01,351092.29,315834.89,0.3385,0.3245,0.4552,0.3465
TP000004,FreshMart,P00277,South,2025-11-02,2025-11-16,1603177.82,1593059.76,0.3465,0.4939,0.5743,0.6217
TP000005,QuickShop,P00203,Central,2025-07-03,2025-07-13,1356066.51,1611562.98,0.191,0.1724,0.2478,0.16
TP000006,FreshMart,P00125,West,2024-05-15,2024-05-26,1002844.66,1249825.61,0.3861,0.486,0.4803,0.3976
TP000007,ValueBazaar,P00122,West,2023-08-09,2023-08-22,1736727.83,1846566.79,0.0635,0.0799,0.5068,0.1112
TP000008,ValueBazaar,P00020,West,2025-06-15,2025-06-23,821933.89,779690.16,0.1164,0.1116,0.3895,0.239
TP000009,FreshMart,P00077,West,2025-07-02,2025-07-19,1633736.49,1880533.05,0.0741,0.101,0.4178,0.2016
TP000010,QuickShop,P00093,South,2024-03-28,2024-04-11,924328.48,959980.34,0.4325,0.2883,0.3191,0.4869
TP000011,UrbanKart,P00260,South,2025-08-27,2025-08-31,1060776.98,1293817.7,0.2263,0.1901,0.3124,0.2118
TP000012,UrbanKart,P00203,North,2023-02-17,2023-03-06,698993.06,746380.75,0.3029,0.4704,0.2478,0.5768
TP000013,GreenGrocer,P00288,South,2023-06-03,2023-06-07,1872077.13,2119279.55,0.2621,0.2103,0.5838,0.2665
TP000014,ValueBazaar,P00114,North,2025-03-24,2025-04-06,1963525.38,1962185.32,0.2453,0.3604,0.4383,0.6633
TP000015,Metro Retail,P00279,East,2025-10-01,2025-10-15,1334450.16,1583502.56,0.5326,0.5763,0.5991,0.6036
TP000016,GreenGrocer,P00239,North,2025-05-02,2025-05-17,700793.45,679776.43,0.351,0.3731,0.208,0.2708
TP000017,FreshMart,P00247,North,2025-11-14,2025-11-18,1549414.61,1775180.32,0.1412,0.1507,0.2586,0.1249
TP000018,FreshMart,P00226,South,2023-01-19,2023-02-01,630966.22,757564.03,0.3812,0.3547,0.2552,0.2091
TP000019,Metro Retail,P00269,West,2023-01-19,2023-01-29,1030521.87,1083254.71,0.0593,0.0677,0.1839,0.0419
TP000020,QuickShop,P00056,North,2023-08-05,2023-08-16,1276210.06,1821469.11,0.2806,0.5142,0.3902,0.5624
TP000021,ValueBazaar,P00189,East,2024-09-06,2024-09-24,1322250.73,1216270.38,0.3711,0.4162,0.3416,0.4338
TP000022,GreenGrocer,P00167,East,2023-05-30,2023-06-07,606502.89,624808.92,0.3436,0.3707,0.4023,0.7684
TP000023,ValueBazaar,P00256,North,2024-11-03,2024-11-13,834296.31,967568.23,0.3117,0.4836,0.313,0.7187
TP000024,QuickShop,P00006,South,2025-07-15,2025-08-03,926995.29,1036974.73,0.0946,0.0547,0.3162,0.0662
TP000025,FreshMart,P00058,North,2024-11-14,2024-11-26,771143.27,586888.64,0.3808,0.4451,0.3389,1.1182
TP000026,FreshMart,P00290,North,2025-05-21,2025-06-03,1095362.13,1146021.08,0.3775,0.5349,0.4677,1.0256
